"x","y",""
-87.5,18.16,NA
-87.47,18.16,NA
-87.44,18.16,NA
-87.41,18.16,NA
-88.97,18.13,NA
-88.94,18.13,NA
-88.91,18.13,NA
-88.88,18.13,NA
-88.85,18.13,NA
-88.82,18.13,NA
-88.79,18.13,NA
-88.76,18.13,NA
-88.73,18.13,NA
-88.7,18.13,NA
-88.67,18.13,NA
-88.64,18.13,NA
-88.61,18.13,NA
-88.58,18.13,NA
-88.55,18.13,NA
-88.52,18.13,NA
-88.49,18.13,NA
-88.46,18.13,NA
-88.43,18.13,NA
-88.4,18.13,2.79
-88.37,18.13,139.5
-88.34,18.13,138.24
-88.31,18.13,70.29
-88.28,18.13,10.89
-88.25,18.13,169.83
-88.22,18.13,302.13
-88.19,18.13,558
-88.16,18.13,403.29
-88.13,18.13,323.73
-88.1,18.13,42.39
-88.07,18.13,NA
-88.04,18.13,NA
-88.01,18.13,NA
-87.98,18.13,NA
-87.95,18.13,48.87
-87.92,18.13,6.93
-87.89,18.13,102.87
-87.86,18.13,159.57
-87.83,18.13,22.32
-87.8,18.13,NA
-87.77,18.13,NA
-87.74,18.13,NA
-87.71,18.13,NA
-87.68,18.13,NA
-87.65,18.13,NA
-87.62,18.13,NA
-87.59,18.13,NA
-87.56,18.13,NA
-87.53,18.13,NA
-87.5,18.13,NA
-87.47,18.13,NA
-87.44,18.13,NA
-87.41,18.13,NA
-88.97,18.1,NA
-88.94,18.1,NA
-88.91,18.1,NA
-88.88,18.1,NA
-88.85,18.1,NA
-88.82,18.1,NA
-88.79,18.1,NA
-88.76,18.1,NA
-88.73,18.1,NA
-88.7,18.1,NA
-88.67,18.1,NA
-88.64,18.1,NA
-88.61,18.1,NA
-88.58,18.1,NA
-88.55,18.1,NA
-88.52,18.1,NA
-88.49,18.1,NA
-88.46,18.1,NA
-88.43,18.1,NA
-88.4,18.1,NA
-88.37,18.1,98.19
-88.34,18.1,87.3
-88.31,18.1,67.32
-88.28,18.1,60.21
-88.25,18.1,188.82
-88.22,18.1,139.77
-88.19,18.1,333.54
-88.16,18.1,486.72
-88.13,18.1,311.94
-88.1,18.1,30.06
-88.07,18.1,NA
-88.04,18.1,NA
-88.01,18.1,NA
-87.98,18.1,20.7
-87.95,18.1,116.64
-87.92,18.1,57.33
-87.89,18.1,210.24
-87.86,18.1,164.97
-87.83,18.1,NA
-87.8,18.1,NA
-87.77,18.1,NA
-87.74,18.1,NA
-87.71,18.1,NA
-87.68,18.1,NA
-87.65,18.1,NA
-87.62,18.1,NA
-87.59,18.1,NA
-87.56,18.1,NA
-87.53,18.1,NA
-87.5,18.1,NA
-87.47,18.1,NA
-87.44,18.1,NA
-87.41,18.1,NA
-88.97,18.07,NA
-88.94,18.07,NA
-88.91,18.07,NA
-88.88,18.07,NA
-88.85,18.07,NA
-88.82,18.07,NA
-88.79,18.07,NA
-88.76,18.07,NA
-88.73,18.07,NA
-88.7,18.07,NA
-88.67,18.07,NA
-88.64,18.07,NA
-88.61,18.07,NA
-88.58,18.07,NA
-88.55,18.07,NA
-88.52,18.07,NA
-88.49,18.07,NA
-88.46,18.07,NA
-88.43,18.07,NA
-88.4,18.07,NA
-88.37,18.07,38.61
-88.34,18.07,128.88
-88.31,18.07,47.25
-88.28,18.07,90.45
-88.25,18.07,22.41
-88.22,18.07,NA
-88.19,18.07,310.23
-88.16,18.07,556.29
-88.13,18.07,250.29
-88.1,18.07,NA
-88.07,18.07,NA
-88.04,18.07,NA
-88.01,18.07,5.4
-87.98,18.07,40.41
-87.95,18.07,41.13
-87.92,18.07,152.1
-87.89,18.07,279.99
-87.86,18.07,65.97
-87.83,18.07,NA
-87.8,18.07,NA
-87.77,18.07,NA
-87.74,18.07,NA
-87.71,18.07,NA
-87.68,18.07,NA
-87.65,18.07,NA
-87.62,18.07,NA
-87.59,18.07,NA
-87.56,18.07,NA
-87.53,18.07,NA
-87.5,18.07,NA
-87.47,18.07,NA
-87.44,18.07,NA
-87.41,18.07,NA
-88.97,18.04,NA
-88.94,18.04,NA
-88.91,18.04,NA
-88.88,18.04,NA
-88.85,18.04,NA
